task_id,department,corridor_id,zone_id,station_code,asset_type,severity,overdue_days,failure_count_90d,asset_age_years,asset_health_index,safety_critical,single_point_failure,redundancy_available,daily_passenger_trains,daily_freight_trains,freight_forecast_24h,traffic_density_index,train_conflict_count,nearest_available_block_hours,requested_block_duration_min,estimated_repair_duration_min,crew_count_required,material_readiness_pct,weather_risk,night_work,permit_ready,dependency_count,historical_delay_minutes,traction_load_pct,ohe_temperature_c,contact_wire_wear_pct,pantograph_interaction_risk,traction_power_interruptions_30d,criticality_score,priority_class,recommended_window
MT-000055,TRD,C4-South,Zone-A,418,Traction Transformer,3,12,2,8.0,57.3,1,0,0,33,18,8.9,78.9,7,13.8,173,193,6,77.3,0,0,1,0,17.2,88.9,48.1,66.8,47.8,1,100.0,CRITICAL,Next available safe block
MT-000056,S&T,C4-South,Zone-E,859,Axle Counter,4,12,3,2.3,40.3,0,1,1,38,16,17.8,72.5,0,12.2,41,77,11,91.3,0,1,1,0,11.4,70.5,41.8,26.4,18.3,4,100.0,CRITICAL,Next available safe block
MT-000057,Engineering,C3-West,Zone-C,565,Turnout,4,25,2,16.1,13.0,1,0,0,57,18,14.1,100.0,3,9.7,105,120,3,76.7,1,0,1,2,28.0,95.7,41.5,27.7,3.1,0,100.0,CRITICAL,Next available safe block
MT-000058,Engineering,C5-Central,Zone-D,828,Rail Joint,2,11,1,16.4,60.8,0,1,1,38,20,21.1,78.4,5,19.0,82,56,2,76.3,0,1,1,2,21.2,61.7,34.7,33.1,18.0,1,100.0,CRITICAL,Next available safe block
MT-000059,Engineering,C6-Coastal,Zone-C,253,Sleeper Zone,3,23,0,13.6,34.2,0,1,1,35,20,22.6,87.7,5,23.3,65,105,12,51.5,2,0,1,1,14.6,62.1,37.8,23.6,11.7,1,100.0,CRITICAL,Next available safe block
MT-000060,Engineering,C3-West,Zone-C,450,Rail Joint,2,14,0,19.0,54.9,1,1,0,52,23,20.8,100.0,8,18.8,150,153,6,94.3,1,1,1,1,22.7,39.7,29.2,36.7,26.2,1,100.0,CRITICAL,Next available safe block
MT-000061,Engineering,C1-North,Zone-A,161,Track Circuit,2,6,2,14.0,71.1,1,0,1,46,18,18.9,93.3,1,19.0,83,108,5,63.3,0,0,1,1,11.0,74.8,31.2,19.5,2.7,1,91.74,CRITICAL,Next available safe block
MT-000062,Engineering,C3-West,Zone-A,559,Bridge Component,2,1,5,0.5,75.6,0,0,0,43,12,21.0,81.0,4,28.2,33,61,12,95.8,0,0,1,1,9.9,69.8,20.8,22.6,35.6,0,79.71,HIGH,Within 72 hours
MT-000063,S&T,C3-West,Zone-D,339,Point Machine,3,15,1,9.6,49.9,1,0,0,41,6,3.8,63.7,2,23.2,161,169,2,79.0,1,0,1,1,9.4,57.8,38.3,36.5,22.6,0,100.0,CRITICAL,Next available safe block
MT-000064,Engineering,C6-Coastal,Zone-B,289,Sleeper Zone,4,5,1,13.6,51.2,0,0,0,45,19,17.7,100.0,4,15.6,96,111,2,99.7,0,0,1,1,15.1,46.2,31.2,27.9,15.1,1,100.0,CRITICAL,Next available safe block
MT-000065,Engineering,C4-South,Zone-A,245,Track Circuit,4,7,1,16.2,49.4,0,0,1,42,13,12.5,84.3,5,14.7,146,168,12,59.6,0,0,1,2,28.0,45.8,42.0,27.0,28.9,1,100.0,CRITICAL,Next available safe block
MT-000066,TRD,C5-Central,Zone-B,621,Isolator,3,1,2,14.2,59.6,0,0,0,40,19,21.0,74.2,0,1.0,55,89,10,55.8,0,0,0,2,4.5,64.9,35.7,48.5,30.6,2,96.76,CRITICAL,Next available safe block
MT-000067,Engineering,C3-West,Zone-D,391,Rail Joint,3,8,3,16.1,54.0,1,0,1,44,16,14.8,84.7,1,29.4,67,55,10,100.0,1,1,1,1,16.5,56.2,39.5,30.5,19.1,0,98.24,CRITICAL,Next available safe block
MT-000068,S&T,C2-East,Zone-C,741,Axle Counter,4,13,1,8.2,25.0,0,0,1,45,16,22.9,89.4,5,10.5,133,169,8,70.3,0,0,1,0,24.5,85.3,34.8,28.3,13.9,0,100.0,CRITICAL,Next available safe block
MT-000069,Engineering,C4-South,Zone-C,159,Turnout,4,4,1,12.0,54.4,1,0,0,42,15,18.5,73.7,3,8.7,53,59,2,100.0,0,0,1,0,26.8,64.7,39.6,25.3,0.0,0,99.38,CRITICAL,Next available safe block
MT-000070,S&T,C4-South,Zone-B,572,Signal,2,2,2,16.1,66.0,1,0,0,36,10,10.7,67.0,2,16.9,83,139,9,94.6,1,1,0,1,11.2,88.8,40.9,33.5,22.6,0,98.1,CRITICAL,Next available safe block
MT-000071,TRD,C3-West,Zone-D,786,Isolator,2,9,2,27.9,54.6,0,1,0,46,19,16.1,91.1,2,11.9,158,198,8,97.0,0,1,1,0,9.8,73.7,43.3,71.5,47.7,1,99.93,CRITICAL,Next available safe block
MT-000072,Engineering,C6-Coastal,Zone-D,172,Track Circuit,3,12,5,5.5,36.5,1,0,0,40,18,19.6,94.7,7,30.4,43,36,7,95.0,2,0,0,1,15.5,86.8,36.5,18.8,13.6,1,99.64,CRITICAL,Next available safe block
MT-000073,Engineering,C2-East,Zone-A,338,Sleeper Zone,3,8,0,16.5,55.0,0,1,1,47,16,18.9,100.0,10,17.8,177,168,10,83.9,0,0,0,1,20.3,49.3,15.2,45.5,20.6,1,100.0,CRITICAL,Next available safe block
MT-000074,S&T,C3-West,Zone-B,515,Point Machine,4,25,0,4.2,16.4,1,0,1,42,18,17.9,74.7,2,20.3,52,76,8,87.0,0,0,1,0,17.1,39.0,52.1,34.0,35.6,0,98.7,CRITICAL,Next available safe block
MT-000075,TRD,C2-East,Zone-A,278,Traction Transformer,3,9,1,7.9,41.1,0,0,0,42,23,20.7,94.3,7,38.8,117,145,9,82.0,1,1,1,0,18.3,69.3,43.2,74.1,53.4,1,100.0,CRITICAL,Next available safe block
MT-000076,TRD,C4-South,Zone-B,166,Switchgear,1,13,2,19.1,60.2,1,1,1,49,21,24.7,98.4,4,9.3,174,194,8,100.0,0,0,1,1,16.4,85.3,41.4,49.6,41.8,2,98.66,CRITICAL,Next available safe block
MT-000077,TRD,C2-East,Zone-A,692,Section Insulator,2,16,1,14.3,69.3,1,1,0,37,14,16.3,70.6,1,25.8,95,115,4,100.0,1,0,1,6,24.3,84.3,25.0,41.6,35.0,0,100.0,CRITICAL,Next available safe block
MT-000078,Engineering,C3-West,Zone-A,176,Track Circuit,5,12,3,10.6,29.9,0,1,1,38,15,17.1,68.6,2,22.1,67,72,3,100.0,1,0,1,1,11.4,52.7,37.5,23.1,25.8,0,100.0,CRITICAL,Next available safe block
MT-000079,Engineering,C1-North,Zone-D,347,Sleeper Zone,2,0,3,27.6,74.3,0,1,1,46,18,16.5,95.1,7,14.9,29,67,6,56.1,0,0,0,2,19.1,72.4,39.6,23.6,24.0,0,100.0,CRITICAL,Next available safe block
MT-000080,Engineering,C1-North,Zone-D,806,Rail Joint,1,1,2,8.1,81.9,0,0,0,37,18,18.0,76.3,6,28.7,95,128,8,100.0,0,0,1,2,22.5,70.3,33.3,23.0,23.0,1,87.36,CRITICAL,Next available safe block
MT-000081,S&T,C2-East,Zone-C,167,Axle Counter,4,0,1,15.1,50.3,0,0,1,39,11,12.6,55.3,5,22.7,73,100,9,51.5,2,0,0,1,25.5,41.4,51.3,30.3,14.4,1,100.0,CRITICAL,Next available safe block
MT-000082,TRD,C6-Coastal,Zone-C,949,Section Insulator,4,0,1,17.1,62.7,0,1,0,33,23,16.5,77.3,3,19.5,127,152,10,74.0,1,0,1,3,9.1,78.3,51.6,32.1,35.7,2,100.0,CRITICAL,Next available safe block
MT-000083,Engineering,C3-West,Zone-D,667,Rail Joint,3,10,1,0.5,56.4,1,1,1,46,18,24.1,71.8,2,15.5,133,135,4,75.7,0,0,1,2,7.5,41.7,37.6,27.6,30.6,2,98.19,CRITICAL,Next available safe block
MT-000084,Engineering,C5-Central,Zone-D,198,Track Circuit,3,19,3,10.6,38.2,1,0,0,48,14,7.4,82.5,2,12.5,151,179,10,70.2,2,1,1,1,17.0,62.1,29.3,11.4,31.5,1,100.0,CRITICAL,Next available safe block
MT-000085,Engineering,C1-North,Zone-A,881,Sleeper Zone,5,14,2,3.6,14.6,1,0,0,39,18,15.5,69.7,1,9.4,105,161,2,100.0,1,1,1,2,7.4,30.0,27.4,29.1,35.6,1,100.0,CRITICAL,Next available safe block
MT-000086,Engineering,C4-South,Zone-C,687,Turnout,1,14,1,0.5,70.3,1,0,0,37,17,20.3,69.5,2,17.9,138,158,11,60.2,0,1,1,0,9.5,85.4,31.9,48.4,26.3,0,94.81,CRITICAL,Next available safe block
MT-000087,TRD,C3-West,Zone-D,942,Section Insulator,3,0,0,14.6,79.1,0,0,0,28,14,16.5,50.6,1,1.0,178,190,8,78.1,1,1,1,1,14.8,87.3,47.7,49.2,38.8,5,96.85,CRITICAL,Next available safe block
MT-000088,TRD,C3-West,Zone-B,677,OHE Insulator,3,12,1,15.6,31.9,1,1,0,47,18,13.6,75.5,4,21.7,104,109,5,90.8,0,1,0,1,15.1,74.0,46.1,92.7,59.2,1,99.93,CRITICAL,Next available safe block
MT-000089,S&T,C1-North,Zone-B,644,Signal,1,13,0,7.8,57.6,0,0,0,35,16,18.5,71.2,4,16.3,70,99,3,91.7,0,0,1,1,11.1,65.6,47.4,12.9,17.4,0,85.22,CRITICAL,Next available safe block
MT-000090,TRD,C5-Central,Zone-C,880,Traction Transformer,3,23,0,5.0,22.1,1,0,1,36,14,19.9,79.9,8,39.8,57,55,9,61.4,0,0,1,3,23.8,65.0,47.1,92.8,65.5,2,100.0,CRITICAL,Next available safe block
MT-000091,Engineering,C4-South,Zone-B,641,Track Circuit,4,11,0,22.7,52.0,0,0,1,38,22,19.1,92.3,6,13.3,47,60,3,74.9,2,0,1,1,26.8,94.7,32.8,37.3,24.0,1,100.0,CRITICAL,Next available safe block
MT-000092,TRD,C5-Central,Zone-A,637,Switchgear,3,24,3,25.7,20.4,1,0,1,35,17,14.4,70.6,2,11.7,159,200,6,61.9,3,1,1,2,9.7,102.7,45.3,98.0,75.6,1,100.0,CRITICAL,Next available safe block
MT-000093,TRD,C4-South,Zone-C,981,Traction Transformer,4,9,0,16.3,47.4,0,0,0,39,15,15.5,63.6,4,25.1,54,77,10,81.0,0,0,1,1,28.7,72.1,49.4,72.2,53.7,2,97.99,CRITICAL,Next available safe block
MT-000094,TRD,C1-North,Zone-D,821,Section Insulator,3,12,1,12.4,58.4,1,1,1,39,12,13.3,74.2,1,8.2,142,183,3,57.5,0,1,1,0,4.0,74.0,53.9,32.8,28.2,2,100.0,CRITICAL,Next available safe block
MT-000095,TRD,C3-West,Zone-B,880,Section Insulator,4,18,1,7.8,25.0,0,1,1,46,16,17.4,100.0,5,20.5,144,155,11,81.1,0,0,0,0,19.1,40.9,35.9,78.6,46.9,2,100.0,CRITICAL,Next available safe block
MT-000096,TRD,C4-South,Zone-A,423,OHE Contact Wire,4,10,1,14.0,44.3,0,1,0,44,17,18.4,80.6,5,33.5,31,54,7,80.8,1,1,0,0,11.8,82.6,42.7,53.9,44.6,2,99.33,CRITICAL,Next available safe block
MT-000097,TRD,C3-West,Zone-D,222,Section Insulator,4,0,0,11.6,55.1,1,0,0,53,19,24.7,100.0,1,16.2,132,153,4,76.0,0,1,1,2,8.5,110.0,46.3,64.5,58.4,3,100.0,CRITICAL,Next available safe block
MT-000098,TRD,C2-East,Zone-E,132,Isolator,4,0,3,16.9,60.0,1,0,1,43,13,12.7,76.2,2,5.0,160,189,2,76.7,3,0,1,0,11.7,88.6,43.9,47.9,47.7,1,100.0,CRITICAL,Next available safe block
MT-000099,Engineering,C2-East,Zone-A,754,Turnout,4,32,1,20.8,5.0,1,0,1,29,16,11.0,75.0,1,13.8,53,62,7,78.9,0,0,0,1,16.9,38.2,28.5,37.0,31.1,1,100.0,CRITICAL,Next available safe block
MT-000100,Engineering,C1-North,Zone-B,244,Track Circuit,3,9,1,14.2,57.1,1,0,0,49,15,24.3,92.6,5,20.4,52,115,8,80.2,0,0,1,1,16.5,88.6,20.7,15.2,31.0,0,100.0,CRITICAL,Next available safe block
MT-000101,Engineering,C1-North,Zone-A,873,Rail Joint,3,14,1,12.4,50.3,1,1,0,38,12,16.6,73.3,1,14.5,144,170,8,75.0,0,0,1,0,8.0,69.2,33.8,40.0,18.5,0,100.0,CRITICAL,Next available safe block
MT-000102,TRD,C6-Coastal,Zone-E,616,Switchgear,2,0,1,1.6,80.6,1,0,0,56,18,10.5,97.3,4,26.4,146,234,11,97.7,0,0,1,1,18.2,76.4,44.6,28.2,27.1,2,100.0,CRITICAL,Next available safe block
MT-000103,Engineering,C1-North,Zone-E,772,Track Circuit,4,11,1,15.0,37.7,0,0,1,45,14,17.5,87.5,4,11.3,145,133,8,42.1,0,0,0,0,11.3,50.7,48.9,10.8,25.6,1,100.0,CRITICAL,Next available safe block
MT-000104,TRD,C2-East,Zone-A,409,OHE Contact Wire,2,20,3,16.5,47.8,1,0,1,40,12,16.6,73.9,4,19.2,168,185,2,97.1,0,0,1,1,25.6,103.8,43.9,63.5,61.7,1,100.0,CRITICAL,Next available safe block
MT-000105,S&T,C4-South,Zone-D,243,Signal,3,0,0,19.4,82.9,1,1,1,44,17,17.3,88.8,10,32.7,102,141,9,72.0,0,0,0,0,41.2,68.7,32.0,36.0,33.3,0,100.0,CRITICAL,Next available safe block
MT-000106,Engineering,C5-Central,Zone-D,763,Track Circuit,2,10,1,0.5,62.6,1,0,0,42,16,12.8,89.8,3,4.5,56,60,12,83.5,0,1,1,1,8.1,52.8,29.6,26.1,28.7,2,91.43,CRITICAL,Next available safe block
